ETF代码	ETF名称	指数代码	指数名称
159790	银华中证内地低碳经济主题ETF	000977	低碳
159885	鹏华中证内地低碳经济主题ETF	000977	低碳
516070	易方达中证内地低碳经济主题ETF	000977	低碳
159796	汇添富中证电池主题ETF	931719	电池
561910	招商中证电池主题ETF	931719	电池
561160	富国中证电池主题ETF	931719	电池
515790	华泰柏瑞中证光伏产业ETF	931151	光伏
159857	天弘中证光伏产业ETF	931151	光伏
516880	银华中证光伏产业ETF	931151	光伏
516150	招商中证稀土产业ETF	930598	稀土
516780	华泰柏瑞中证稀土产业ETF	930598	稀土
159713	富国中证稀土产业ETF	930598	稀土
159928	汇添富中证主要消费ETF	000932	消费
512600	嘉实中证主要消费ETF	000932	消费
560680	广发中证主要消费ETF	000932	消费
512690	鹏华中证酒ETF	399987	酒
161725	招商中证白酒指数(LOF)A	399997	白酒
159736	天弘中证食品饮料ETF	930653	食品饮料
515170	鹏华中证细分食品产业主题ETF	000815	细分食品
515710	华宝中证细分食品饮料产业主题ETF	000815	细分食品
159996	国泰中证全指家用电器ETF	930697	家电
560880	广发中证全指家用电器ETF	930697	家电
561120	富国中证全指家用电器ETF	930697	家电
159766	富国中证旅游主题ETF	930633	旅游
562510	华夏中证旅游主题ETF	930633	旅游
159825	富国中证农业主题ETF	000949	农业
516810	华夏中证农业主题ETF	000949	农业
159827	银华中证农业主题ETF	000949	农业
159865	国泰中证畜牧养殖ETF	930707	畜牧养殖
516670	招商中证畜牧养殖ETF	930707	畜牧养殖
159867	鹏华中证畜牧养殖ETF	930707	畜牧养殖
512200	南方中证全指房地产ETF	931775	房地产
515060	华夏中证全指房地产ETF	931775	房地产
159745	广发中证全指建筑材料ETF	931009	建筑材料
512170	华宝中证医疗ETF	399989	医疗
159828	国泰中证医疗ETF	399989	医疗
560260	广发中证医疗ETF	399989	医疗
159992	银华中证创新药产业ETF	931152	创新药
515120	广发中证创新药产业ETF	931152	创新药
516080	易方达中证创新药产业ETF	931152	创新药
560080	富国中证中药ETF	930641	中药
159647	鹏华中证中药ETF	930641	中药
159883	永赢中证全指医疗器械ETF	H30217	医疗器械
159898	招商中证全指医疗器械ETF	H30217	医疗器械
159837	易方达中证生物科技主题ETF	930743	生物科技
512660	国泰中证军工ETF	399967	军工
512680	广发中证军工ETF	399967	军工
512560	易方达中证军工ETF	399967	军工
512710	富国中证军工龙头ETF		军工龙头
512670	鹏华中证国防ETF	399973	国防
159870	鹏华中证细分化工产业主题ETF	000813	细分化工
516020	华宝中证细分化工产业主题ETF	000813	细分化工
516120	富国中证细分化工产业主题ETF	000813	细分化工
510810	汇添富中证上海国企ETF	950096	上海国企
159623	博时中证成渝地区双城经济圈ETF	931695	成渝经济圈
513360	博时中证全球中国教育主题ETF	931456	教育
159667	国泰中证机床ETF	931866	机床
